,name,rating,reviews,salary,interviews,jobs,discription,years_old
432,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
433,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
434,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
435,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
436,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
437,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
438,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
439,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
440,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
441,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
442,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
443,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
444,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
445,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
446,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
447,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
448,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
449,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
450,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
451,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
452,Axis Bank,3.8,23.1k,98.7k,1.4k,114,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1334 more,31
453,Amazon,4.1,23k,1.3L,4.5k,147,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +445 more,30
454,Concentrix Corporation,3.9,23k,1.1L,1.4k,56,IT Services & Consulting | 50k-1 Lakh Employees | Public | 41 years old | Fremont +125 more,41
455,Jio,3.9,20.9k,65.4k,1.5k,108,Telecom | 50k-1 Lakh Employees | Public | 6 years old | Navi Mumbai +1186 more,6
456,IBM,4.1,20.4k,2.2L,2.1k,2.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +151 more,113
457,Reliance Retail,3.9,20.2k,64.2k,1.4k,164,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +1023 more,18
458,HDB Financial Services,4.0,18.6k,50.2k,724,118,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +974 more,17
459,iEnergizer,4.7,18k,19.9k,414,44,BPO | 10k-50k Employees | 24 years old | Noida +31 more,24
460,TCS,3.7,79.6k,8.8L,9k,935,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +355 more,56
461,Accenture,4.0,49.6k,5.9L,6.7k,34.8k,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +179 more,35
462,Cognizant,3.9,44.9k,5.8L,4.9k,426,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +176 more,30
463,Wipro,3.8,42.7k,4.4L,4.8k,156,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +283 more,79
464,Capgemini,3.8,36.7k,4.4L,4.1k,1.5k,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +145 more,57
465,HDFC Bank,3.9,35.7k,1.4L,1.9k,174,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1580 more,30
466,ICICI Bank,4.0,35.1k,1.5L,2.3k,46,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1310 more,30
467,Infosys,3.8,34.5k,4.8L,6.6k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +187 more,43
468,HCLTech,3.6,31.7k,3.2L,3.3k,191,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +195 more,33
469,Tech Mahindra,3.6,31.7k,2.7L,3.4k,542,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +283 more,38
470,Genpact,3.9,28.4k,2L,2.7k,352,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +121 more,27
471,Teleperformance,3.9,24.9k,87.8k,1.6k,191,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +197 more,46
